word_count,time_fast_ner,time_flashtext,time_regex
25000,0.20875562191009522,0.5964872193336487,0
30000,0.2110681128501892,0.6710854363441467,0
35000,0.22390530586242677,0.7548262476921082,0
40000,0.23821194887161254,0.8378173089027405,0
45000,0.2532849502563477,0.9219097900390625,0
50000,0.3234365153312683,1.0193406414985657,0
55000,0.3071590328216553,1.1101144003868102,0
60000,0.2987805461883545,1.1853500151634215,0
65000,0.31351242780685423,1.267172327041626,0
70000,0.3292257380485535,1.3565433239936828,0
75000,0.39521337032318116,1.4786121916770936,0
80000,0.41013939142227174,1.526249635219574,0
85000,0.4262139987945557,1.6112983703613282,0
90000,0.44034729719161986,1.6966951656341553,0
95000,0.45600107192993167,1.7769617867469787,0
100000,0.5236592411994934,1.8750911092758178,0
